Filename,Labels,Category
06rCpqwkcDw.mp3,"Snoring,Domestic animals, pets,Dog,Animal",Animal Sounds
076qdKSC8nU.mp3,"Tapping (guitar technique),Electric guitar,Guitar,Music,Speech,Distortion",Human Sounds
07AQUF6A_mg.mp3,Hammer,Miscellaneous
07FxCXxknY4.mp3,"Bass guitar,Guitar,Acoustic guitar,Music,Musical instrument,Strum,Happy music",Musical Instruments
07I7v5ISD7Y.mp3,Hair dryer,Miscellaneous
07mCK08xGRc.mp3,"Music,Bang,Speech",Human Sounds
07rwFurzpw8.mp3,"Music,Single-lens reflex camera,Speech",Human Sounds
07xGXxIHOL4.mp3,"Music,Wedding music",Musical Instruments
08Cm_RuvHmk.mp3,"Zither,Pizzicato",Miscellaneous
08mf5GxT820.mp3,"Music,Shuffle",Musical Instruments
08QQAMaw24E.mp3,"Music,Bang",Musical Instruments
08wKt83tR5E.mp3,"Music,Tambourine",Musical Instruments
08wOPt-2PeE.mp3,Yodeling,Miscellaneous
097K1uMIPyQ.mp3,"Music,Speech,Speech synthesizer",Human Sounds
098xwjCQmHc.mp3,Swing music,Miscellaneous
09kqMqn5rWs.mp3,"Speech,Child speech, kid speaking,Children playing,Outside, rural or natural",Human Sounds
09lQmg2wvsY.mp3,"Sampler,Music",Musical Instruments
09pZj6CEvRw.mp3,Church bell,Miscellaneous
09rHHvq75-U.mp3,Chirp tone,Miscellaneous
0A-VisU1k8U.mp3,Arrow,Miscellaneous
0a5KHX_odJ8.mp3,"Bang,Speech",Human Sounds
0a91szM1Ivw.mp3,"Carnatic music,Traditional music,Music",Musical Instruments
0AA0R8gbxcI.mp3,"Reverberation,Field recording,Speech",Human Sounds
0aaLWD7TUSU.mp3,"Boat, Water vehicle,Rowboat, canoe, kayak",Environmental Sounds
0abzD7hBTRk.mp3,"Beatboxing,Music",Musical Instruments
0AkRWunFZPk.mp3,"Crunch,Speech",Human Sounds
0AqnCSdkjQ0.mp3,"Liquid,Drip",Miscellaneous
0ARh-9Amrv0.mp3,"Knock,Speech",Human Sounds
0aYAf-S-fKM.mp3,Echo,Miscellaneous
0B7fwvTtvLM.mp3,"Basketball bounce,Trickle, dribble",Miscellaneous
0BauNGmZtTU.mp3,"Rain,Thunderstorm,Thunder,Rain on surface",Environmental Sounds
0BCXcbaLeoA.mp3,"Breaking,Chink, clink",Miscellaneous
0BgI0XxW0kE.mp3,"Air conditioning,Speech",Human Sounds
0bhY7v5dJDY.mp3,Grunt,Miscellaneous
0bKpv6YBl7g.mp3,"Speech,Drawer open or close",Human Sounds
0BlmXxLck5g.mp3,Synthetic singing,Miscellaneous
0bO6DhC2tlU.mp3,"Sizzle,Stir,Frying (food)",Miscellaneous
0bP2MH3LqvI.mp3,"Propeller, airscrew,Music",Musical Instruments
0bRUkLsttto.mp3,"Music,Exciting music",Musical Instruments
0bsbkdnSgMQ.mp3,Creak,Miscellaneous
0bvPjMQ_WbE.mp3,"Music,Steelpan",Musical Instruments
0bWZNWZ8YCI.mp3,Clatter,Miscellaneous
0c1YU_VtFRE.mp3,"Music,Field recording,Outside, rural or natural",Musical Instruments
0c78GAZ0jLY.mp3,Child singing,Miscellaneous
0CA5CPHRXDc.mp3,"Insect,Mosquito,Fly, housefly",Animal Sounds
0Cd8q2Zg1Mc.mp3,Snoring,Miscellaneous
0CJFt950vOk.mp3,"Siren,Civil defense siren",Miscellaneous
0Cl6hXpryhY.mp3,"Basketball bounce,Grunt",Miscellaneous
0cNYPgD6cEA.mp3,"Music,Male singing",Musical Instruments
0crG6jzAUpE.mp3,"Busy signal,Speech,Inside, small room",Human Sounds
0CTgEP0SIVg.mp3,"Bird,Bird vocalization, bird call, bird song,Insect,Chirp, tweet,Cricket",Animal Sounds
0Cu33yBwAPg.mp3,Church bell,Miscellaneous
0CzC0-cXe8M.mp3,"Lawn mower,Vehicle",Vehicle Sounds
0cZQm65sZjc.mp3,"Keys jangling,Speech",Human Sounds
0D9ZiiYArKw.mp3,"Flap,Speech",Human Sounds
0dC6Ay0oqWk.mp3,"Zither,Pizzicato",Miscellaneous
0dgl6Rvt3X0.mp3,"Single-lens reflex camera,Speech",Human Sounds
0DizopdPMBw.mp3,"Music,Exciting music",Musical Instruments
0DJP7ywh7nc.mp3,Steam whistle,Miscellaneous
0dPx94RPy2M.mp3,"Music,Dental drill, dentist's drill",Musical Instruments
0dVmGVa3Rbw.mp3,"Single-lens reflex camera,Camera",Human Sounds
0DwRfesDQvE.mp3,Rattle,Miscellaneous
0DzsPL-xElE.mp3,"Chainsaw,Motorcycle",Machine and Tool Sounds
0EI7FxbdsUE.mp3,"Music,Speech,Gush",Human Sounds
0EiQyHjoaz8.mp3,Cash register,Miscellaneous
0EOQco76eXQ.mp3,"Bass guitar,Music,Musical instrument,Wedding music",Musical Instruments
0EQYTfW7TDc.mp3,Chopping (food),Miscellaneous
0eTrzI5-ong.mp3,"Zither,Cello,Pizzicato,Bowed string instrument",Miscellaneous
0ewQiU3q5jM.mp3,"Jingle (music),Music",Musical Instruments
0eXXRhp0p3w.mp3,Gush,Miscellaneous
0EyIdGgbPEo.mp3,"Music,Bang,Speech",Human Sounds
0EyJ15KLxg4.mp3,"Organ,Hammond organ,Electronic organ",Miscellaneous
0F-Z0zF1504.mp3,"Music,Pop music,Soul music",Musical Instruments
0F04c_rY4aw.mp3,Howl,Miscellaneous
0fCpAuxrQ_I.mp3,"Music,Angry music",Musical Instruments
0fD-eSRrybM.mp3,"Creak,Mechanisms",Miscellaneous
0fiOM---7QI.mp3,"Music,Middle Eastern music",Musical Instruments
0fiuMvWi3yM.mp3,"Engine,Idling,Accelerating, revving, vroom,Vehicle,Medium engine (mid frequency)",Vehicle Sounds
0FjrveIENzI.mp3,"Music,Shuffle",Musical Instruments
0foC-4n-eH0.mp3,"Door,Sliding door,Domestic animals, pets,Dog,Animal",Animal Sounds
0fsntL6RKww.mp3,Hammer,Miscellaneous
0fwt2zSftIc.mp3,Mechanical fan,Miscellaneous
0fZKF6FprcA.mp3,"Creak,Mechanisms",Miscellaneous
0Fzrv1GXHPI.mp3,Sine wave,Miscellaneous
0g-KosNgMYA.mp3,"Railroad car, train wagon,Train whistle,Rail transport,Train",Vehicle Sounds
0g4SlqjORM4.mp3,"Brass instrument,French horn,Orchestra",Miscellaneous
0G50t4FlbIA.mp3,"Screaming,Speech",Human Sounds
0Ga7T-2e490.mp3,"Truck,Vehicle,Air brake",Vehicle Sounds
0GFtqzOWnWg.mp3,Jackhammer,Miscellaneous
0GhmrpFuRNQ.mp3,"Singing,Music,Shout",Human Sounds
0GNNFBrRz1E.mp3,Hammer,Miscellaneous
0Gxn9FtaJFc.mp3,"Music,Sad music",Musical Instruments
0g_-KI5NZ-E.mp3,Whistling,Miscellaneous
0H25ve3qts4.mp3,"Music,Slam,Speech",Human Sounds
0H30ORfaFK8.mp3,Stomach rumble,Miscellaneous
0H814XXq-WQ.mp3,"Crowd,Battle cry",Miscellaneous
0HbhE91JB-k.mp3,"Insect,Mosquito,Fly, housefly",Animal Sounds
0he6VV5Y9Bg.mp3,"Insect,Cricket",Animal Sounds
0hfU27A6tus.mp3,"Banjo,Country,Guitar,Music,Musical instrument,Plucked string instrument,Bluegrass,Bowed string instrument",Musical Instruments
0HGsAx2KjPM.mp3,"Wood block,Percussion",Miscellaneous
0hjqlmdPT6g.mp3,"Engine,Vehicle,Heavy engine (low frequency),Engine starting",Vehicle Sounds
0hOD_iIeePk.mp3,"Engine,Vehicle,Speech,Car,Engine starting",Human Sounds
0HqZRxHCGLc.mp3,"Splinter,Wood",Miscellaneous
0hUft9scxzY.mp3,"Tearing,Speech",Human Sounds
0hWIKYNSEPE.mp3,"Bagpipes,Drum,Wind instrument, woodwind instrument,Bass drum,Percussion",Musical Instruments
0HXYdGGKV2k.mp3,"Banjo,Music,Bluegrass",Musical Instruments
0HzbpwB3xDk.mp3,Air conditioning,Miscellaneous
0i-RTS_FXcM.mp3,"Ringtone,Music",Musical Instruments
0i8VM_EooCs.mp3,"Electronic music,Music,Techno",Musical Instruments
0iiwZ2_9Vi8.mp3,Cough,Human Sounds
0ImJuPpEpco.mp3,"Propeller, airscrew",Miscellaneous
0ISHZQJdeSw.mp3,"Music,Pop music,Middle Eastern music",Musical Instruments
0IwGsEzITQs.mp3,"Motor vehicle (road),Vehicle,Tire squeal,Car",Vehicle Sounds
0IxyUtHw6Ec.mp3,"Music,Chatter,Speech",Human Sounds
0IzhjqyDzt8.mp3,Church bell,Miscellaneous
0izHOfrwPn4.mp3,"Music,Quack,Speech",Human Sounds
0J3wJhQVOII.mp3,"Air conditioning,Speech",Human Sounds
0JbGxIR8JTk.mp3,"Music,Ska",Musical Instruments
0jFQ21A6GRA.mp3,"Music,Middle Eastern music",Musical Instruments
0jiu0RNizU8.mp3,"Violin, fiddle,Bowed string instrument",Musical Instruments
0JjprYD2Yhw.mp3,Whip,Miscellaneous
0jnvb2H25_Q.mp3,"Humming,Speech",Human Sounds
0Jq6WJLLSIk.mp3,"Speech,Oink",Human Sounds
0jR20-0sy1Y.mp3,"Wind instrument, woodwind instrument,Shofar",Environmental Sounds
0jy-sVREk4o.mp3,Clip-clop,Miscellaneous
0j_nQcD7jdU.mp3,"Music,Pulse,Soundtrack music",Musical Instruments
0J_TdiZ3TKA.mp3,"Music,Male singing,Synthetic singing",Musical Instruments
0K0pXiZrUJA.mp3,Crunch,Miscellaneous
0k6KjLouAHs.mp3,"Speech,Throat clearing",Human Sounds
0KCVgexi4yU.mp3,"Music,Middle Eastern music,Happy music",Musical Instruments
0kIIGL-xFhY.mp3,Breathing,Miscellaneous
0KKTw8pfNjg.mp3,"Speech,Fire alarm",Human Sounds
0kNCB0oGiL4.mp3,"Sigh,Inside, small room",Miscellaneous
0KOPvSUlNjI.mp3,"Bagpipes,Wind instrument, woodwind instrument",Environmental Sounds
0kQD1P0_KUs.mp3,"Music,Wedding music",Musical Instruments
0kQjfwXjFuY.mp3,"Chant,Music",Musical Instruments
0kqQNBR09Rc.mp3,Skidding,Miscellaneous
0kY1isykrrs.mp3,"Music,Speech,Tender music",Human Sounds
0L2ndtt60Q8.mp3,"Music,Synthetic singing",Musical Instruments
0LAcf9DNd1Q.mp3,"Whoosh, swoosh, swish,Sound effect",Miscellaneous
0LE6Ll1rVlg.mp3,"Music,Rhythm and blues,Exciting music",Musical Instruments
0lJyHuTVMNY.mp3,"Crunch,Speech,Inside, small room",Human Sounds
0LLlcPiatiU.mp3,"Music,Single-lens reflex camera",Human Sounds
0loP4WNnL2k.mp3,"Subway, metro, underground,Railroad car, train wagon,Rail transport,Train",Vehicle Sounds
0lPcHRhXlWk.mp3,"Bus,Vehicle",Vehicle Sounds
0LTmV_dOmmo.mp3,"Knock,Speech",Human Sounds
0LY5zuRlIac.mp3,"Cymbal,Hi-hat",Miscellaneous
0m2rwP3eYno.mp3,Sonar,Miscellaneous
0m9-5BkL4Mc.mp3,"Music,Child singing",Musical Instruments
0Mba3BS1oRM.mp3,"Speech,Boiling",Human Sounds
0mD4OcdidBM.mp3,"Siren,Civil defense siren",Miscellaneous
0MEPG8c0jqk.mp3,"Speech,Crumpling, crinkling,Inside, small room",Human Sounds
0ml1KwECOo8.mp3,Snoring,Miscellaneous
0mNvPaqfwUI.mp3,"Railroad car, train wagon,Rail transport,Train,Train wheels squealing",Vehicle Sounds
0MV5mb0RJLY.mp3,"Duck,Speech,Animal,Inside, small room",Animal Sounds
0mXkme9abiU.mp3,Chirp tone,Miscellaneous
0mZQ6Q-viPw.mp3,Cough,Human Sounds
0MzrXd8CUCg.mp3,"Foghorn,Music",Musical Instruments
0N0C0Wbe6AI.mp3,"Emergency vehicle,Siren,Police car (siren),Sound effect",Miscellaneous
0N17tEW_WEU.mp3,"Narration, monologue,Speech",Human Sounds
0N3-lCzOQPI.mp3,"Croak,Frog",Miscellaneous
0N6S5OoG7Vg.mp3,"Fire,Wind,Wind noise (microphone)",Environmental Sounds
0N9EN0BEjP0.mp3,"Bus,Truck,Vehicle,Traffic noise, roadway noise",Vehicle Sounds
0NMnJXcrhPo.mp3,"Whoosh, swoosh, swish",Miscellaneous
0noFcocWRzw.mp3,"Glass,Breaking",Miscellaneous
0NW8rsCj6xQ.mp3,Ping,Miscellaneous
0NZLG7HMiLg.mp3,"Fire,Wind,Wind noise (microphone)",Environmental Sounds
0O-gZoirpRA.mp3,"Reversing beeps,Car",Vehicle Sounds
0OFlTh2_Obo.mp3,"Canidae, dogs, wolves,Yip,Bow-wow,Speech",Human Sounds
0OhqyNGlJYE.mp3,Knock,Miscellaneous
0oI0BvmTLvA.mp3,"Clock,Alarm clock,Music",Musical Instruments
0oKQcHLixSE.mp3,"Electronic music,Music,Techno",Musical Instruments
0Olm321vgk8.mp3,"Music,Male singing",Musical Instruments
0onKcFY1Tu0.mp3,"Croak,Frog",Miscellaneous
0oudYrPGNN8.mp3,"Doorbell,Music",Musical Instruments
0OY8XXZ98rw.mp3,"Music,Male singing,Synthetic singing",Musical Instruments
0OYlHvyfNk4.mp3,"Swing music,Music of Africa,Funk,Music,Ska,Music of Latin America",Musical Instruments
0p0sM9wBLiE.mp3,"Throbbing,Hum",Miscellaneous
0p7J0O8ew0k.mp3,"Crack,Speech",Human Sounds
0pHPUaSSEWc.mp3,Fusillade,Miscellaneous
0pHTgC1Frnw.mp3,"Tubular bells,Marimba, xylophone,Glockenspiel,Mallet percussion",Miscellaneous
0PHUQku2P5I.mp3,"Music,Opera,Song,Choir",Musical Instruments
0PKdFG3iB8w.mp3,"Tabla,Drum,Percussion",Musical Instruments
0pLgOm0xgjY.mp3,"Smash, crash",Impact Sounds
0PMFAO4TIU4.mp3,"Jazz,Music",Musical Instruments
0PQYNtIBVf4.mp3,"Engine,Jet engine,Idling",Vehicle Sounds
0pyk5xo7XAI.mp3,Rustle,Miscellaneous
0q1wOYCfLlQ.mp3,"Steam whistle,Steam",Miscellaneous
0QabiRBcEKc.mp3,"Male speech, man speaking,Speech,Pink noise",Human Sounds
0QdEYUt4LL8.mp3,Fire,Environmental Sounds
0qDs_aC0LwI.mp3,"Music,Mouse",Musical Instruments
0QqQ1j1vBgw.mp3,"Propeller, airscrew,Engine,Music,Vehicle,Speech,Fixed-wing aircraft, airplane,Aircraft",Human Sounds
0QSPtpp1HN8.mp3,"Organ,Hammond organ,Keyboard (musical),Piano",Musical Instruments
0QTme5iyg4A.mp3,"Explosion,Speech",Human Sounds
0QYedLfOwcI.mp3,"Fart,Speech",Human Sounds
0qZ54ovyEWQ.mp3,"Telephone dialing, DTMF,Speech,Inside, small room",Human Sounds
0R6KIVvlyfQ.mp3,"Mains hum,Hum",Miscellaneous
0R85JknaH-w.mp3,"Splash, splatter,Speech",Human Sounds
0rbUCEM20aw.mp3,"Bang,Speech",Human Sounds
0RcMzUdXDRQ.mp3,"Jazz,Music,Dance music",Musical Instruments
0Rg7tKJWk2w.mp3,"Gurgling,Speech",Human Sounds
0RgGrVklaao.mp3,"Music,Boom",Musical Instruments
0Rjyih3W0Is.mp3,"Wind instrument, woodwind instrument,Flute",Musical Instruments
0RMYLychMXc.mp3,"Hubbub, speech noise, speech babble",Miscellaneous
0rNQE7fccQg.mp3,"Vehicle,Air brake",Vehicle Sounds
0Rp0mQTZF2o.mp3,"Music,Gurgling,Speech",Human Sounds
0rqmPdr352Q.mp3,"Rattle (instrument),Rattle",Miscellaneous
0Rt6sNb3P8o.mp3,Scary music,Miscellaneous
0ryt1DPirB0.mp3,Gong,Miscellaneous
0RyzdrZgrus.mp3,"Music,Burst, pop,Speech",Human Sounds
0rz3h0ghprk.mp3,"Speech,Crumpling, crinkling",Human Sounds
0rzB4A1PjnA.mp3,Clicking,Miscellaneous
0RZRFj7zDnQ.mp3,"Cello,Double bass,Bowed string instrument",Miscellaneous
0s0Uy0-zBa0.mp3,"Music,Sidetone",Musical Instruments
0S2mvjzH_xQ.mp3,Environmental noise,Miscellaneous
0s6gEV9d52I.mp3,"Buzzer,Speech",Human Sounds
0saogke2Mec.mp3,"Thump, thud",Miscellaneous
0sE4JvKFpMI.mp3,"Slosh,Speech",Human Sounds
0SLv6CmZas8.mp3,"Music,Rustling leaves,Speech",Human Sounds
0slyl34xWug.mp3,"Splash, splatter,Speech",Human Sounds
0SNhAKyXtC8.mp3,"Traditional music,Music",Musical Instruments
0SnjS2w_c80.mp3,"Didgeridoo,Music",Musical Instruments
0soVCtJgDTk.mp3,"Music,Single-lens reflex camera",Human Sounds
0sPVAP17w2U.mp3,"New-age music,Music",Musical Instruments
0ssOpzqkojU.mp3,"Harpsichord,Keyboard (musical)",Miscellaneous
0sstijfm2nM.mp3,"Singing,Music,Shout,Inside, large room or hall,Inside, public space",Human Sounds
0sYXPO7lzco.mp3,"Bicycle,Music,Vehicle,Speech",Human Sounds
0tgNg0MHgxc.mp3,"Splinter,Wood",Miscellaneous
0TiEO149Ydc.mp3,"Jazz,Music",Musical Instruments
0TKyCw1Ykq8.mp3,Rustle,Miscellaneous
0toUq9UHCSA.mp3,"Propeller, airscrew,Vehicle",Vehicle Sounds
0trWdhSvab4.mp3,"Music,Clapping",Musical Instruments
0TV9zvfwFhs.mp3,"Music,Male singing,Synthetic singing",Musical Instruments
0TvuLbDrd6g.mp3,"Goat,Animal",Animal Sounds
0U20V7Kh_kc.mp3,"Chink, clink,Speech",Human Sounds
0u5dddSWuj8.mp3,"Bagpipes,Wind instrument, woodwind instrument",Environmental Sounds
0U7mQ5GYMX8.mp3,"Tabla,Percussion",Miscellaneous
0U9_6RyH3_M.mp3,Mouse,Miscellaneous
0Ubu4BqSWmU.mp3,"Music,Tender music",Musical Instruments
0UF1FHDPM1A.mp3,"Snicker,Speech",Human Sounds
0unBNMBYhwQ.mp3,"Music,Crunch,Speech",Human Sounds
0V7-w8K3Fgw.mp3,"Chink, clink,Speech",Human Sounds
0VCK8rLKXKA.mp3,Flamenco,Miscellaneous
0vFPs6XsU_Q.mp3,"Music,Male singing,Female singing",Musical Instruments
0vg9qxNKXOw.mp3,"Skateboard,Slam,Speech",Human Sounds
0VjPCd62oKg.mp3,"Music,Duck",Musical Instruments
0VnKeRijmM8.mp3,"Smash, crash",Impact Sounds
0vSmiq7CrCk.mp3,"Horse,Neigh, whinny,Animal",Animal Sounds
0vXqf9ix8LE.mp3,"Insect,Cricket",Animal Sounds
0W1sNicXboU.mp3,"Music,Splash, splatter,Water,Speech",Human Sounds
0w7pCxwXzVc.mp3,"Fire,Wind,Wind noise (microphone)",Environmental Sounds
0Wkk9iNzA9c.mp3,"Canidae, dogs, wolves,Domestic animals, pets,Dog,Growling,Animal",Animal Sounds
0wM_qR6Yihk.mp3,Swing music,Miscellaneous
